family,binomial,common_name,diet_study_yn,diet_study,cleaner_score,nocturnal_score,habitat_score,water column_position score,body_length_score,ratio_score,cum_vulnerab_score
Acipenseridae,Acipenser oxyrinchus,"Atlantic Sturgeon, Gulf Sturgeon",no,0,1,0,0,1,0,1,3
Gobiesocidae,Acyrtops amplicirrus,Flarenostril Clingfish,no,0,1,0,1,1,1,1,5
Gobiesocidae,Acyrtops beryllinus,Emerald Clingfish,no,0,1,0,1,1,1,1,5
Gobiesocidae,Acyrtus artius,Papillate Clingfish,no,0,1,0,1,1,1,1,5
Gobiesocidae,Acyrtus lanthanum,Orange-spotted Clingfish,no,0,1,0,1,1,1,1,5
Gobiesocidae,Acyrtus rubiginosus,Red Clingfish,no,0,1,0,1,1,1,1,5
Mugilidae,Agonostomus monticola,Mountain Mullet,no,0,1,0,0,1,0,1,3
Ophichthidae,Ahlia egmontis,Key Worm Eel,no,0,1,1,1,0,0,1,4
Gobiidae,Akko dionaea,Atlantic Specter Goby,no,0,1,0,0,1,1,1,4
Albulidae,Albula nemoptera,"Shafted Bonefish, Threadfin Bonefish",no,0,1,0,0,1,0,1,3
Albulidae,Albula vulpes,Bonefish,no,0,1,0,1,1,0,1,4
Carangidae,Alectis ciliaris,African Pompano,yes,1,1,0,1,1,0,0,3
Dinematichthyidae,Alionematichthys minyomma,Small-eye Brotula,no,0,1,0,1,1,1,1,5
Clupeidae,Alosa aestivalis,Blueback Herring,no,0,1,0,0,1,0,1,3
Clupeidae,Alosa alabamae,Alabama Shad,no,0,1,0,0,1,0,1,3
Clupeidae,Alosa chrysochloris,Skipjack Herring ,no,0,1,0,0,1,0,1,3
Clupeidae,Alosa sapidissima,American Shad,no,0,1,0,0,1,0,0,2
Epinephelidae,Alphestes afer,Mutton Hamlet,no,0,1,1,1,1,0,1,5
Monacanthidae,Aluterus heudelotii,Dotterel Filefish,no,0,1,0,0,1,0,1,3
Monacanthidae,Aluterus monoceros,Unicorn Leatherjacket Filefish,no,0,1,0,1,1,0,1,4
Monacanthidae,Aluterus schoepfii,Orange Filefish,yes,1,1,0,1,1,0,0,3
Monacanthidae,Aluterus scriptus,Scrawled Leatherjacket Filefish,yes,1,1,0,1,1,0,1,4
Cirrhitidae,Amblycirrhitus pinos,Redspotted Hawkfish,yes,1,1,0,1,1,1,1,5
Ariidae,Amphiarius phrygiatus,Kukwari Sea Catfish,no,0,1,0,0,1,0,1,3
Ariidae,Amphiarius rugispinis,Softhead Sea Catfish,no,0,1,0,0,1,0,1,3
Batrachoididae,Amphichthys cryptocentrus,Bocon Toadfish,no,0,1,0,1,1,0,1,4
Muraenidae,Anarchias similis,Pygmy Moray,no,0,1,0,1,1,0,1,4
Syngnathidae,Anarchopterus criniger,Fringed Pipefish,yes,1,1,0,0,1,1,1,4
Syngnathidae,Anarchopterus tectus,Insular Pipefish,no,0,1,0,0,1,1,1,4
Engraulidae,Anchoa cayorum,Key Anchovy,no,0,1,0,0,1,1,1,4
Engraulidae,Anchoa choerostoma,Bermuda Anchovy,no,0,1,0,1,1,1,1,5
Engraulidae,Anchoa cubana,Cuban Anchovy,no,0,1,0,0,1,1,1,4
Engraulidae,Anchoa filifera,Longfinger Anchovy,no,0,1,0,0,1,1,1,4
Engraulidae,Anchoa hepsetus,"Striped Anchovy, Broadstriped Anchovy",no,0,1,0,0,1,1,1,4
Engraulidae,Anchoa januaria,Rio Anchovy,no,0,1,0,0,1,1,1,4
Engraulidae,Anchoa lamprotaenia,"Bigeye Anchovy, Silverstripe Anchovy",no,0,1,0,0,1,1,1,4
Engraulidae,Anchoa lyolepis,"Dusky Anchovy, Short-finger Anchovy",no,0,1,0,1,1,1,1,5
Engraulidae,Anchoa mitchilli,Bay Anchovy,no,0,1,0,0,1,1,1,4
Engraulidae,Anchoa parva,Little Anchovy,no,0,1,0,0,1,1,1,4
Engraulidae,Anchoa spinifer,Spicule Anchovy,no,0,1,0,0,1,0,1,3
Engraulidae,Anchoa trinitatis,Trinidad Anchovy,no,0,1,0,0,1,1,1,4
Engraulidae,Anchovia clupeoides,Zabaleta Anchova,no,0,1,0,0,1,0,1,3
Engraulidae,Anchoviella blackburni,Blackburn's Anchovy,no,0,1,0,0,1,1,1,4
Engraulidae,Anchoviella brevirostris,Snubnose Anchovy,no,0,1,0,0,1,1,1,4
Engraulidae,Anchoviella cayennensis,Cayenne Anchovy,no,0,1,0,0,1,1,1,4
Engraulidae,Anchoviella elongata,Elongate Anchovy,no,0,1,0,0,1,1,1,4
Engraulidae,Anchoviella lepidentostole,Broadband Anchovy,no,0,1,0,0,1,1,1,4
Paralichthyidae,Ancylopsetta antillarum,Antilles Flounder,no,0,1,0,0,1,0,0,2
Paralichthyidae,Ancylopsetta cycloidea,Cyclope Flounder,no,0,1,0,0,1,0,0,2
Paralichthyidae,Ancylopsetta dilecta,Three-eye Flounder,no,0,1,0,0,1,0,0,2
Paralichthyidae,Ancylopsetta kumperae,Four-eyed Flounder,no,0,1,0,0,1,0,0,2
Paralichthyidae,Ancylopsetta microctenus,Gutherz's Flounder,no,0,1,0,0,1,0,0,2
Paralichthyidae,Ancylopsetta quadrocellata,Ocellated Flounder,no,0,1,0,0,1,0,0,2
Haemulidae,Anisotremus moricandi,Burro,no,0,1,1,1,1,0,1,5
Haemulidae,Anisotremus surinamensis,Black Margate,yes,1,1,0,1,1,0,0,3
Haemulidae,Anisotremus virginicus,Porkfish,yes,1,1,1,1,1,0,1,5
Antennariidae,Antennarius multiocellatus,Longlure Frogfish,no,0,1,0,1,1,0,0,3
Antennariidae,Antennarius pauciradiatus,Dwarf Frogfish,no,0,1,0,1,1,1,0,4
Antennariidae,Antennarius striatus,Striated Frogfish,no,0,1,0,1,1,0,0,3
Antennariidae,Antennatus bermudensis,Island Frogfish,no,0,1,0,1,1,1,0,4
Serranidae,Anthias asperilinguis,Jeweled Gemfish,no,0,1,0,1,1,0,1,4
Serranidae,Anthias nicholsi,Yellowfin Bass,no,0,1,0,1,1,0,1,4
Serranidae,Anthias woodsi,Longtailed Jewelfish,no,0,1,0,1,1,0,1,4
Caproidae,Antigonia capros,Deepbody Boarfish,no,0,1,0,1,1,0,0,3
Caproidae,Antigonia combatia,Shortspine Boarfish,no,0,1,0,1,1,1,0,4
Gobiidae,Antilligobius nikkiae,Sabre Goby,yes,1,1,0,1,1,1,1,5
Achiridae,Apionichthys dumerili,Longtail Sole,no,0,1,0,0,1,0,1,3
Ophichthidae,Aplatophis chauliodus,Fangtooth Snake Eel,no,0,1,0,0,0,0,1,2
Apogonidae,Apogon aurolineatus,Bridle Cardinalfish,yes,1,1,1,1,1,1,1,6
Apogonidae,Apogon binotatus,Barred Cardinalfish,yes,1,1,1,1,1,1,1,6
Apogonidae,Apogon gouldi,Deepwater Cardinalfish,no,0,1,1,1,1,1,1,6
Apogonidae,Apogon lachneri,Whitestar Cardinalfish,yes,1,1,1,1,1,1,1,6
Apogonidae,Apogon leptocaulus,Slendertail Cardinalfish,no,0,1,1,1,1,1,1,6
Apogonidae,Apogon maculatus,Flamefish,yes,1,1,1,1,1,1,1,6
Apogonidae,Apogon mosavi,Dwarf Cardinalfish,yes,1,1,1,1,1,1,1,6
Apogonidae,Apogon phenax,Mimic Cardinalfish,yes,1,1,1,1,1,1,1,6
Apogonidae,Apogon pillionatus,Broadsaddle Cardinalfish,yes,1,1,1,1,1,1,1,6
Apogonidae,Apogon planifrons,Pale Cardinalfish,yes,1,1,1,1,1,1,1,6
Apogonidae,Apogon pseudomaculatus,Twospot Cardinalfish,yes,1,1,1,1,1,1,1,6
Apogonidae,Apogon quadrisquamatus,Sawcheek Cardinalfish,yes,1,1,1,1,1,1,1,6
Apogonidae,Apogon robbyi,Striped Cardinalfish,no,0,1,1,1,1,1,1,6
Apogonidae,Apogon robinsi,Broadsaddle Cardinalfish,no,0,1,1,1,1,1,1,6
Apogonidae,Apogon townsendi,Belted Cardinalfish,yes,1,1,1,1,1,1,1,6
Ophichthidae,Aprognathodon platyventris,Stripe Eel,no,0,1,0,1,0,0,1,3
Lutjanidae,Apsilus dentatus,Black Snapper,no,0,1,0,1,1,0,1,4
Ophichthidae,Apterichtus ansp,Academy Eel,no,0,1,0,0,0,0,1,2
Ophichthidae,Apterichtus kendalli,Finless Eel,no,0,1,0,0,0,0,1,2
Sparidae,Archosargus probatocephalus,Sheepshead,no,0,1,0,1,1,0,0,3
Sparidae,Archosargus rhomboidalis,Western Atlantic Seabream,no,0,1,0,0,1,0,0,2
Gobiesocidae,Arcos nudus,"Tadpole Clingfish, Padded Clingfish",no,0,1,0,1,1,1,1,5
Argentinidae,Argentina striata,Striated Argentine,no,0,1,0,0,1,0,1,3
Ariommatidae,Ariomma bondi,Silver-rag Driftfish,no,0,1,0,0,1,0,1,3
Ariommatidae,Ariomma melanum,Brown Driftfish,no,0,1,0,0,1,0,1,3
Ariommatidae,Ariomma regulus,Spotted Driftfish,no,0,1,0,0,1,0,0,2
Ariidae,Ariopsis felis,Hardhead Sea Catfish,no,0,1,0,0,1,0,1,3
Congridae,Ariosoma anale,Longtrunk Conger Eel,no,0,1,0,0,1,0,1,3
Congridae,Ariosoma balearicum,Bandtooth Conger Eel,no,0,1,0,1,0,0,1,3
Ariidae,Aspistor quadriscutis,Bressou Sea Catfish,no,0,1,0,0,1,0,1,3
Apogonidae,Astrapogon alutus,Bronze Cardinalfish,no,0,1,1,1,1,1,1,6
Apogonidae,Astrapogon puncticulatus,Blackfin Cardinalfish,yes,1,1,1,1,1,1,1,6
Apogonidae,Astrapogon stellatus,Conchfish,no,0,1,1,1,1,1,1,6
Uranoscopidae,Astroscopus guttatus,Northern Stargazer,no,0,1,0,0,0,0,1,2
Uranoscopidae,Astroscopus y-graecum,Southern Stargazer,no,0,1,0,0,0,0,1,2
Atherinopsidae,Atherinella beani,Bean's Silverside,no,0,1,0,0,1,1,1,4
Atherinopsidae,Atherinella blackburni,Beach Silverside,no,0,1,0,0,1,1,1,4
Atherinopsidae,Atherinella brasiliensis,Robust Silverside,no,0,1,0,0,1,0,1,3
Atherinopsidae,Atherinella milleri,Miller's Silverside,no,0,1,0,0,1,1,1,4
Atherinopsidae,Atherinella robbersi,Totumo Silverside,no,0,1,0,0,1,1,1,4
Atherinidae,Atherinomorus stipes,Hardhead Silverside,yes,1,1,0,1,1,1,1,5
Aulopidae,Aulopus filamentosus,Yellowfin Flagfin,no,0,1,0,0,1,0,1,3
Aulostomidae,Aulostomus maculatus,Atlantic Trumpetfish,yes,1,1,0,1,1,0,1,4
Gobiidae,Awaous flavus,Red-fin River Goby,no,0,1,0,0,1,1,1,4
Ariidae,Bagre bagre,Coco Sea Catfish,no,0,1,0,0,1,0,1,3
Ariidae,Bagre marinus,Gafftopsail Sea Catfish,no,0,1,0,0,1,0,1,3
Sciaenidae,Bairdiella chrysoura,"Silver Perch, Silver Croaker",no,0,1,0,0,1,0,1,3
Sciaenidae,Bairdiella ronchus,Ground Croaker,no,0,1,0,0,1,0,1,3
Serranidae,Baldwinella aureorubens,Streamer Bass,no,0,1,0,1,1,0,1,4
Serranidae,Baldwinella vivanus,Red barbier,yes,1,1,0,1,1,1,1,5
Balistidae,Balistes capriscus,Grey Triggerfish,no,0,1,0,1,1,0,0,3
Balistidae,Balistes vetula,Queen Triggerfish,yes,1,1,0,1,1,0,0,3
Gobiidae,Barbulifer antennatus,Whiskered Goby,no,0,1,0,1,1,1,1,5
Gobiidae,Barbulifer ceuthoecus,Atlantic Bearded Goby,no,0,1,0,1,1,1,1,5
Ophichthidae,Bascanichthys bascanium,Sooty Eel,no,0,1,0,0,0,0,1,2
Ophichthidae,Bascanichthys inopinatus,Unexpected Snake Eel,no,0,1,0,0,0,0,1,2
Ophichthidae,Bascanichthys scuticaris,Whip Eel,no,0,1,0,1,0,0,1,3
Serranidae,Bathyanthias cubensis,,no,0,1,0,1,1,1,1,5
Serranidae,Bathyanthias mexicanus,Yellowtail Bass,no,0,1,0,1,1,1,1,5
Congridae,Bathycongrus bullisi,Bullish Conger Eel,no,0,1,0,0,0,0,1,2
Congridae,Bathycongrus dubius,Dubious Conger Eel,no,0,1,1,0,0,0,1,3
Congridae,Bathycongrus vicinalis,Neighbor Conger Eel,no,0,1,1,0,0,0,1,3
Gobiidae,Bathygobius antilliensis,Antilles Frillfin Goby,no,0,1,0,1,1,1,1,5
Gobiidae,Bathygobius curacao,Notch-tongue Goby,no,0,1,0,0,1,1,1,4
Gobiidae,Bathygobius geminatus,Twin-spotted Frillfin Goby,no,0,1,0,1,1,1,1,5
Gobiidae,Bathygobius lacertus,Checkerboard Frillfin Goby,no,0,1,0,1,1,1,1,5
Gobiidae,Bathygobius mystacium,Island Frillfin Goby,no,0,1,0,1,1,1,1,5
Gobiidae,Bathygobius soporator,Frillfin Goby,yes,1,1,0,1,1,1,1,5
Congridae,Bathyuroconger vicinus,Large-toothed Conger Eel,no,0,1,0,0,1,0,1,3
Batrachoididae,Batrachoides gilberti,Large-eye Toadfish,no,0,1,0,0,1,0,1,3
Batrachoididae,Batrachoides manglae,Cotuero Toadfish,no,0,1,0,1,1,0,1,4
Batrachoididae,Batrachoides surinamensis,Pacuma Toadfish,no,0,1,0,0,1,0,1,3
Triglidae,Bellator brachychir,Shortfin Searobin,yes,1,1,0,0,1,0,1,3
Triglidae,Bellator egretta,Streamer Searobin,no,0,1,0,0,1,1,1,4
Triglidae,Bellator militaris,Horned Searobin,yes,1,1,0,0,1,1,1,4
Triglidae,Bellator ribeiroi,Caribbean Searobin,no,0,1,0,0,1,0,1,3
Percophidae,Bembrops anatirostris,Duckbill Flathead,no,0,1,0,0,1,0,1,3
Percophidae,Bembrops gobioides,Goby Duckbill,no,0,1,0,0,1,0,1,3
Percophidae,Bembrops macromma,Scaled-eye Duckbill,no,0,1,0,0,1,0,1,3
Berycidae,Beryx decadactylus,"Red Bream, Broad Alfonsino",no,0,1,1,1,1,0,0,4
Berycidae,Beryx splendens,"Slender Alfonsino, Splendid Alfonsino",no,0,1,1,1,1,0,1,5
Labridae,Bodianus pulchellus,Spotfin Hogfish,yes,1,1,0,1,1,0,1,4
Labridae,Bodianus rufus,Spanish Hogfish,yes,1,1,0,1,1,0,1,4
Gobiidae,Bollmannia boqueronensis,White-eye Goby,no,0,1,0,1,1,1,1,5
Gobiidae,Bollmannia communis,Ragged Goby,no,0,1,0,0,1,1,1,4
Gobiidae,Bollmannia eigenmanni,Shelf Goby,no,0,1,0,0,1,1,1,4
Gobiidae,Bollmannia litura,Citrine Goby,no,0,1,0,0,1,1,1,4
Bothidae,Bothus lunatus,Peacock Flounder,yes,1,1,0,1,1,0,0,3
Bothidae,Bothus maculiferus,Mottled Flounder,no,0,1,0,0,1,0,0,2
Bothidae,Bothus ocellatus,Eyed Flounder,yes,1,1,0,1,1,0,0,3
Bothidae,Bothus robinsi,Twospot Flounder,yes,1,1,0,0,1,0,0,2
Clupeidae,Brevoortia gunteri,Finescale Menhaden,no,0,1,0,0,1,0,1,3
Clupeidae,Brevoortia patronus,Gulf Menhaden,no,0,1,0,0,1,0,0,2
Clupeidae,Brevoortia smithi,Yellowfin Menhaden ,no,0,1,0,0,1,0,1,3
Clupeidae,Brevoortia tyrannus,Atlantic Menhaden,no,0,1,0,0,1,0,1,3
Labrisomidae,Brockius albigenys,Whitecheek Blenny,no,0,1,0,1,1,1,1,5
Labrisomidae,Brockius nigricinctus,Spotcheek Blenny,no,0,1,0,1,1,1,1,5
Ophidiidae,Brotula barbata,Bearded Brotula,no,0,1,0,1,1,0,1,4
Syngnathidae,Bryx dunckeri,Pugnose Pipefish,no,0,1,0,0,1,1,1,4
Syngnathidae,Bryx randalli,Ocellated Pipefish,no,0,1,0,1,1,1,1,5
Serranidae,Bullisichthys caribbaeus,Pugnose Bass,yes,1,1,0,1,1,1,1,5
Bythitidae,Bythites gerdae,,no,0,1,0,1,1,1,1,5
Bythitidae,Calamopteryx goslinei,Longarm Brotula,no,0,1,0,1,1,1,1,5
Bythitidae,Calamopteryx robinsorum,Teacher Brotula,no,0,1,0,0,1,1,1,4
Sparidae,Calamus arctifrons,Grass Porgy,no,0,1,0,0,1,0,0,2
Sparidae,Calamus bajonado,Jolthead Porgy,no,0,1,0,1,1,0,0,3
Sparidae,Calamus calamus,Saucereye Porgy,no,0,1,0,1,1,0,0,3
Sparidae,Calamus campechanus,Campeche Porgy,no,0,1,0,0,1,0,0,2
Sparidae,Calamus cervigoni,Spotfin Porgy,no,0,1,0,0,1,0,0,2
Sparidae,Calamus leucosteus,Whitebone Porgy,no,0,1,0,0,1,0,0,2
Sparidae,Calamus nodosus,Knobbed Porgy,no,0,1,0,1,1,0,0,3
Sparidae,Calamus penna,Sheepshead Porgy,no,0,1,0,1,1,0,0,3
Sparidae,Calamus pennatula,Pluma Porgy,no,0,1,0,1,1,0,0,3
Sparidae,Calamus proridens,Littlehead Porgy,no,0,1,0,1,1,0,0,3
Ophichthidae,Callechelys bilinearis,Twostriped Snake Eel,no,0,1,0,0,0,0,1,2
Ophichthidae,Callechelys guineensis,Shorttail Snake Eel,no,0,1,0,0,0,0,1,2
Ophichthidae,Callechelys muraena,Blotched Snake Eel,no,0,1,0,0,0,0,1,2
Ophichthidae,Callechelys springeri,Ridgefin Eel,no,0,1,0,0,0,0,1,2
Callionymidae,Callionymus bairdi,Lancer Dragonet,no,0,1,0,1,1,1,1,5
Monacanthidae,Cantherhines macrocerus,Whitespotted Filefish,no,0,1,0,1,1,0,0,3
Monacanthidae,Cantherhines pullus,Orangespotted Filefish,yes,1,1,0,1,1,0,0,3
Balistidae,Canthidermis maculata,"Rough Triggerfish, Spotted Oceanic Triggerfish",no,0,1,0,1,1,0,0,3
Balistidae,Canthidermis sufflamen,Ocean Triggerfish,yes,1,1,0,1,1,0,0,3
Tetraodontidae,Canthigaster figueiredoi,South Atlantic Sharpnose Puffer,no,0,1,0,1,1,1,0,4
Tetraodontidae,Canthigaster jamestyleri,Goldface Toby,no,0,1,0,1,1,1,1,5
Tetraodontidae,Canthigaster rostrata,Sharpnose Puffer,yes,1,1,0,1,1,1,1,5
Acropomatidae,Caraibops trispinosus,Threespine Bass,no,0,1,1,1,1,1,1,6
Ophichthidae,Caralophia loxochila,Slantlip Eel,no,0,1,0,1,0,0,1,3
Carangidae,Caranx bartholomaei,Yellow Jack,no,0,1,0,1,1,0,1,4
Carangidae,Caranx crysos,Blue Runner,no,0,1,0,1,1,0,1,4
Carangidae,Caranx hippos,Crevalle Jack,no,0,1,0,1,1,0,1,4
Carangidae,Caranx latus,Horse-Eye Jack,no,0,1,0,1,1,0,1,4
Carangidae,Caranx lugubris,Black Jack,no,0,1,0,1,1,0,0,3
Carangidae,Caranx ruber,Bar Jack,no,0,1,0,1,1,0,1,4
Carapidae,Carapus bermudensis,Pearlfish,no,0,1,1,1,0,0,1,4
Gobiidae,Carrigobius amblyrhynchus,Blunt-snout Goby,no,0,1,0,1,1,1,1,5
Chlopsidae,Catesbya pseudomuraena,Catesby's False Moray,no,0,1,0,1,1,1,1,5
Ariidae,Cathorops aguadulce,"Estuarine Sea Catfish, Aguadulce Sea Catfish",no,0,1,0,0,1,0,1,3
Ariidae,Cathorops arenatus,Yellow Sea Catfish,no,0,1,0,0,1,0,1,3
Ariidae,Cathorops belizensis,Belizean Sea Catfish,no,0,1,0,0,1,0,1,3
Ariidae,Cathorops higuchii,Higuchi’s Sea Catfish,no,0,1,0,0,1,0,1,3
Ariidae,Cathorops kailolae,Kailola's Sea Catfish,no,0,1,0,0,1,0,1,3
Ariidae,Cathorops mapale,Mapale Sea Catfish,no,0,1,0,0,1,0,1,3
Ariidae,Cathorops nuchalis,Orinoco Sea Catfish,no,0,1,0,0,1,0,1,3
Ariidae,Cathorops wayuu,Wayuu Sea Catfish,no,0,1,0,0,1,0,1,3
Malacanthidae,Caulolatilus bermudensis,Bermuda Tilefish,no,0,1,0,0,1,0,1,3
Malacanthidae,Caulolatilus chrysops,Goldface Tilefish,no,0,1,0,0,1,0,1,3
Malacanthidae,Caulolatilus cyanops,Blackline Tilefish,no,0,1,0,0,1,0,1,3
Malacanthidae,Caulolatilus dooleyi,Bankslope Tilefish,no,0,1,0,1,1,0,1,4
Malacanthidae,Caulolatilus guppyi,Reticulated Tilefish,no,0,1,0,0,1,0,1,3
Malacanthidae,Caulolatilus intermedius,"Anchor Tilefish, Gulf Bareye Tilefish",no,0,1,0,0,1,0,1,3
Malacanthidae,Caulolatilus microps,Blueline Tilefish,no,0,1,0,0,1,0,1,3
Malacanthidae,Caulolatilus williamsi,Yellow Barred Tilefish,no,0,1,0,0,1,0,1,3
Draconettidae,Centrodraco acanthopoma,North Atlantic Slope Dragonet,no,0,1,0,0,1,1,1,4
Centropomidae,Centropomus ensiferus,Swordspine Snook,no,0,1,0,0,1,0,1,3
Centropomidae,Centropomus mexicanus,Large-scale Fat Snook,no,0,1,0,0,1,0,1,3
Centropomidae,Centropomus parallelus,Small-scale Fat Snook,no,0,1,0,0,1,0,1,3
Centropomidae,Centropomus pectinatus,Tarpon Snook,no,0,1,0,0,1,0,1,3
Centropomidae,Centropomus poeyi,Mexican Snook,no,0,1,0,0,1,0,1,3
Centropomidae,Centropomus undecimalis,Common Snook,no,0,1,0,0,1,0,1,3
Serranidae,Centropristis fuscula,Twospot Seabass,no,0,1,0,1,1,1,1,5
Serranidae,Centropristis ocyurus,Bank Seabass,yes,1,1,0,1,1,0,1,4
Serranidae,Centropristis philadelphica,Rock Seabass,no,0,1,0,1,1,0,1,4
Serranidae,Centropristis striata,Black Seabass,yes,1,1,0,1,1,0,1,4
Pomacanthidae,Centropyge argi,Cherubfish,no,0,1,0,1,1,1,0,4
Pomacanthidae,Centropyge aurantonotus,Flameback Angelfish,no,0,1,0,1,1,1,0,4
Epinephelidae,Cephalopholis cruentata,Graysby,yes,1,1,1,1,1,0,1,5
Epinephelidae,Cephalopholis fulva,Coney,no,0,1,1,1,1,0,1,5
Microdesmidae,Cerdale floridana,Pugjaw Wormfish,no,0,1,0,1,0,1,1,4
Engraulidae,Cetengraulis edentulus,Atlantic Anchoveta,no,0,1,0,0,1,0,1,3
Chaenopsidae,Chaenopsis limbaughi,Yellowface Pike-Blenny,no,0,1,0,1,0,1,1,4
Chaenopsidae,Chaenopsis megalops,Bigeye Pike-Blenny,no,0,1,0,0,1,1,1,4
Chaenopsidae,Chaenopsis ocellata,Bluethroat Pike-Blenny,no,0,1,0,1,0,1,1,4
Chaenopsidae,Chaenopsis resh,Resh Pike-Blenny,no,0,1,0,1,1,1,1,5
Chaenopsidae,Chaenopsis roseola,Flecked Pike-Blenny,no,0,1,0,1,1,1,1,5
Chaenopsidae,Chaenopsis stephensi,Stephen's Pike-Blenny,no,0,1,0,1,1,1,1,5
Ephippidae,Chaetodipterus faber,Atlantic Spadefish,no,0,1,0,1,1,0,0,3
Chaetodontidae,Chaetodon capistratus,Foureye Butterflyfish,yes,1,1,0,1,1,1,0,4
Chaetodontidae,Chaetodon ocellatus,Spotfin Butterflyfish,yes,1,1,0,1,1,0,0,3
Chaetodontidae,Chaetodon sedentarius,Reef Butterflyfish,no,0,1,0,1,1,1,0,4
Chaetodontidae,Chaetodon striatus,Banded Butterflyfish,no,0,1,0,1,1,0,0,3
Muraenidae,Channomuraena vittata,Broadbanded Moray,no,0,1,1,1,1,0,1,5
Bothidae,Chascanopsetta danae,Angry Pelican Flounder,no,0,1,0,0,1,0,1,3
Bothidae,Chascanopsetta lugubris,Pelican Flounder,no,0,1,0,0,1,0,1,3
Blenniidae,Chasmodes bosquianus,Striped Blenny,no,0,1,0,0,1,1,1,4
Blenniidae,Chasmodes longimaxilla,Stretchjaw Blenny,no,0,1,0,1,1,1,1,5
Blenniidae,Chasmodes saburrae,Florida Blenny,no,0,1,0,1,1,1,1,5
Diodontidae,Chilomycterus antennatus,Bridled Burrfish,no,0,1,0,1,1,0,1,4
Diodontidae,Chilomycterus antillarum,Web Burrfish,no,0,1,0,1,1,0,1,4
Diodontidae,Chilomycterus reticulatus,Spotfin Burrfish,no,0,1,0,1,1,0,1,4
Diodontidae,Chilomycterus schoepfii,Striped Burrfish,no,0,1,0,1,1,0,1,4
Diodontidae,Chilomycterus spinosus ssp. spinosus,Brown Burrfish,no,0,1,0,1,1,0,1,4
Chlopsidae,Chilorhinus suensonii,Seagrass Eel,no,0,1,0,0,1,0,1,3
Pristigasteridae,Chirocentrodon bleekerianus,Dogtooth Herring,no,0,1,0,0,1,1,1,4
Chlopsidae,Chlopsis bicolor,"Bicolor Eel, Bicolor False Moray",no,0,1,1,1,0,0,1,4
Chlopsidae,Chlopsis dentatus,"Mottled False Moray, Banded False Moray",no,0,1,0,1,1,0,1,4
Chlorophthalmidae,Chlorophthalmus agassizi,Shortnose Greeneye,no,0,1,0,0,1,0,1,3
Carangidae,Chloroscombrus chrysurus,Atlantic Bumper,no,0,1,0,0,1,0,0,2
Serranidae,Choranthias tenuis,Threadnose Bass,no,0,1,0,1,1,1,1,5
Hemiramphidae,Chriodorus atherinoides,Hardhead Halfbeak,no,0,1,0,0,1,0,1,3
Gobiidae,Chriolepis fisheri,Translucent Goby,no,0,1,0,1,1,1,1,5
Gobiidae,Chriolepis roosevelti,Roosevelt's Goby,no,0,1,0,1,1,1,1,5
